protein,interactors
PSMC6,PSMB1 PSME1 PSMD14 PSMB7 PSMC1 PSMD13 PSMD10 PSMD2 PSMD6 PSMC5 PSMB6 PSMD3 PSMB3 PSMC4 PSMD1 PSMA7 PSMD4 PSMD7 PSMD8 PSMA2 PSMB4 PSMD12 PSMD11 PSMA1 PSMA5 PSMA4 PSMA3 PSMC3 PSMA6 PSMB2 PSMB5 PSME2 PSMD9 PSMD5 PSMC2
PSMD2,PSMB1 PSME1 PSMD14 PSMB7 PSMC1 PSMD13 PSMD10 PSMD6 PSMC5 PSMB6 PSMD3 PSMB3 PSMC4 PSMD1 PSMA7 PSMD4 PSMD7 PSMD8 PSMA2 PSMB4 PSMD12 PSMD11 PSMA1 PSMA5 PSMA4 PSMA3 PSMC6 PSMC3 PSMA6 PSMB2 PSMB5 PSME2 PSMD9 PSMD5 PSMC2
PSMD6,PSMB1 PSME1 PSMD14 PSMB7 PSMC1 PSMD13 PSMD10 PSMD2 PSMC5 PSMB6 PSMD3 PSMB3 PSMC4 PSMD1 PSMA7 PSMD4 PSMD7 PSMD8 PSMA2 PSMB4 PSMD12 PSMD11 PSMA1 PSMA5 PSMA4 PSMA3 PSMC6 PSMC3 PSMA6 PSMB2 PSMB5 PSME2 PSMD9 PSMD5 PSMC2
PSMD5,PSMB1 PSME1 PSMD14 PSMB7 PSMC1 PSMD13 PSMD10 PSMD2 PSMD6 PSMC5 PSMB6 PSMD3 PSMB3 PSMC4 PSMD1 PSMA7 PSMD4 PSMD7 PSMD8 PSMA2 PSMB4 PSMD12 PSMD11 PSMA1 PSMA5 PSMA4 PSMA3 PSMC6 PSMC3 PSMA6 PSMB2 PSMB5 PSME2 PSMD9 PSMC2
PSMD1,PSMB1 PSME1 PSMD14 PSMB7 PSMC1 PSMD13 PSMD10 PSMD2 PSMD6 PSMC5 PSMB6 PSMD3 PSMB3 PSMC4 PSMA7 PSMD4 PSMD7 PSMD8 PSMA2 PSMB4 PSMD12 PSMD11 PSMA1 PSMA5 PSMA4 PSMA3 PSMC6 PSMC3 PSMA6 PSMB2 PSMB5 PSME2 PSMD9 PSMD5 PSMC2
PSMD13,PSMB1 PSME1 PSMD14 PSMB7 PSMC1 PSMD10 PSMD2 PSMD6 PSMC5 PSMB6 PSMD3 PSMB3 PSMC4 PSMD1 PSMA7 PSMD4 PSMD7 PSMD8 PSMA2 PSMB4 PSMD12 PSMD11 PSMA1 PSMA5 PSMA4 PSMA3 PSMC6 PSMC3 PSMA6 PSMB2 PSMB5 PSME2 PSMD9 PSMD5 PSMC2
AP1G1,RABEP1 AP1S3 AP1S1 AP1S2 AP1B1 AP1M1 AP1M2 TFRC AP1G2 AP1AR PACS1 LZTFL1 FURIN
AP1G2,AP1S3 AP1S1 AP1S2 AP1B1 AP1M1 AP1G1 AP1M2 AP1AR
AP1S2,AP1S3 AP1S1 AP1B1 AP1M1 AP1G1 AP1M2 AP1G2 AP1AR
AP1S1,AP1S3 AP1S2 AP1B1 AP1M1 AP1G1 AP1M2 AP1G2 AP1AR
AP1B1,AP1S3 AP1S1 AP1S2 AP1M1 AP1G1 AP1M2 AP1G2 AP1AR
AP1S3,AP1S1 AP1S2 AP1B1 AP1M1 AP1G1 AP1M2 AP1G2 AP1AR
AP1M1,AP1S3 AP1S1 AP1S2 AP1B1 AP1G1 AP1M2 AP1G2 AP1AR
AP1M2,AP1S3 AP1S1 AP1S2 AP1B1 AP1M1 AP1G1 AP1G2 AP1AR
PSEN1,TMED10 APP NCSTN APH1B DLL1 BSG PSENEN APH1A
NCSTN,TMED10 PSEN2 PSEN1 APH1B DLL1 BSG PSENEN APH1A
APH1A,TMED10 NCSTN PSEN2 PSEN1 DLL1 BSG PSENEN
PSENEN,TMED10 NCSTN PSEN2 PSEN1 APH1B DLL1 BSG APH1A
SMARCA5,HDAC2 WDR5 PHC1 KIF4A HSPA1A CENPB SUPT16H RBBP4 HDAC1 CHRAC1 CBX4 SMC2 ZC3H13 SYMPK BAZ1A RSF1 ERCC6 KIF23 RBBP7 SSRP1 TAF9 PHC2 TBP WDR11 SMC1A SIN3A CENPO CENPH CENPU TAF12 RBBP5 CBX8 CPSF2 MTA2 COBLL1 TAF6 RAD21 BAZ2A FBL CENPL DDX21 CENPM SPEF2 SAP18 DHX38 BAZ1B TAF1 SMARCC1 MTA1 SCMH1 CENPI PHC3 MYO1C DNMT3B NUP93 MYBBP1A CBX2 HSPA8 EFTUD2 STAG1 HSPA5 MBD2 RACGAP1 MBD3 KDM1A RAN SRRT SMC4 PLPPR3 SF3B1 DDB1 SAP30 RNF2 YY1 WTAP CENPC SMARCC2 SHCBP1 STAG2 SMC3 SMARCB1 CHD3 RING1 BMI1 VIRMA CUL4A KMT2A DNMT1 DEK CBX3 ZFP91 POLE3 CENPK CENPA SMARCA2
KIF4A,SMARCA5 KIF14 PRC1 HDAC1 SIN3A SMC2 SMC4 KIF23 KIF20A DNMT3B
HDAC1,BRCA2 UHRF1 PHF21B GATAD2B HDAC3 SMARCA4 KIF4A HEY2 HSPA1A TFDP1 ACTL6A FOXH1 BANP RREB1 CBX4 SMC2 SYMPK BAZ1A BANF1 MIER2 EHMT2 HSPA4 ING2 H3C4 ZMYM2 SMC1A SIN3A LCOR DNTTIP1 TAF12 APBB1 YAF2 TBL1XR1 MTA2 ASH2L PRMT5 SIX3 RYBP SUDS3 SAP18 TAF1 SAP130 SMARCC1 SKI E2F6 GFI1 HMG20B ZNF598 SP1 EFTUD2 SMAD4 GATAD2A HSPA5 SMAD2 MBD2 GSE1 KDM1A TGIF1 CDYL MIDEAS REST MGA SUV39H1 L3MBTL2 HSPA1B WIZ SMARCC2 MAX CTBP2 ZMYND8 RBL1 STAG2 MED4 SMC3 ZEB2 EHMT1 CHD3 MTA3 PHF21A SMARCD2 PCNA MIER1 SP3 TSHZ3 H3C10 DNMT1 CBX3 ZMYM3 ZEB1 DPY30 H3C1 SMARCA2 HDAC2 SMARCA5 BANF2 WDR5 NCOR2 H3C7 FOXP3 CREBBP RBBP4 HIPK2 TBL1Y OGT H3C8 H3C6 SETDB1 E2F4 RBBP7 SAP25 TAF9 TLE1 ZNF516 TBP MECP2 ARID1A RCOR1 RCOR3 BRCA1 RBBP5 CPSF2 GTF2I KAT5 RBPJ HSP90AA1 SIN3B BRMS1L RBL2 TAF6 HNRNPC ZNF541 BAZ2A SMARCE1 BRMS1 ARID4A SETD1A HMG20A MTA1 ARID4B DNMT3B BCL6 CTBP1 HSPA8 H3C3 USP7 LMO7 LMNB1 H3C2 AJUBA STAG1 HCFC1 NCOR1 EP300 MBD3 ACTB RAN HESX1 SMC4 E2F5 DPF2 EMD SAP30 SPTAN1 RB1 RNF2 TRIM28 H3C11 PCGF6 SMARCB1 CHD4 E2F1 SMARCD3 ZNF217 NMI NKX3-1 H3C12 H1-1 SMARCD1 RING1 KMT2A SMAD3 CDK2AP1 SPI1 ING1 RAD21
SIN3A,HDAC2 SMARCA5 WDR5 NCOR2 HDAC3 MXD1 SMARCA4 KIF4A HEY2 ACTL6A BANP RBBP4 HIPK2 HDAC1 OGT SMC2 SYMPK ING2 HSPA4 RBBP7 SAP25 TAF9 TLE1 TBP ZMYM2 MECP2 ARID1A RCOR1 TAF12 RBBP5 CPSF2 GTF2I MTA2 HSP90AA1 SIN3B ASH2L PRMT5 BRMS1L RBL2 TAF6 SUDS3 SAP18 SMARCE1 TAF1 BRMS1 SAP130 ARID4A SETD1A SMARCC1 MTA1 SKI ARID4B DNMT3B HMG20B HSPA8 SP1 EFTUD2 HSPA5 HCFC1 NCOR1 GSE1 MBD3 KDM1A RAN HESX1 SMC4 REST SAP30 SMARCC2 RBL1 SMARCB1 CHD4 SMARCD3 CHD3 PHF21A SMARCD2 ZMYM3 NKX3-1 SMARCD1 KMT2A SMAD3 SPI1 ING1 SMARCA2
DNMT3B,SMARCA5 HDAC1 BAZ2A SIN3A SMC2 SMC4 SETDB1 DNMT3L DNMT1 KIF4A
RAB5A,RABGEF1 RABEP1 VPS11 VPS39 VPS18 VPS16 EEA1
RABEP1,RABGEF1 RAB5A AP1G1
RABGEF1,RAB5A RABEP1
MAPK3,VIM CDC37 MAPK11 S1PR1 S1PR5 HMMR ARHGEF2 KPNA2 CD44 HSP90AA1 HDAC4 PXN MAPK1 S1PR2 S1PR3 PRKCA KDR
MAPK1,CDC37 MAPK11 S1PR1 S1PR5 HMMR ARHGEF2 CD44 HSP90AA1 PRKCD HDAC4 MAPK3 PXN S1PR2 PTK2 BLVRA S1PR3 PRKCA LAMTOR2 KDR LAMTOR3
NCOR2,HDAC2 SAP30 GPS2 SIN3A HDAC3 HEY2 TBL1XR1 RBPJ SIN3B NCOR1 TBL1X HDAC1 HESX1 H1-3 SNW1
