protein,interactors
GNL3,RPS23 RPS2 SRP14 RPL10A RPS7 ACTA2 RPS12 RPL27 RBM28 RPL4 RPL9P8 RPL23 RPL8 RPS16 RPL14 RPL27A RPL35 LYAR RPL36 HNRNPU RPS9 RPL28 RPL32 RPS3A RPL13 SCYL2 RPLP1 U2AF2 ILF2 FBL DDX21 RPL19 NOP58 RPL24 RPL18A RPL39 NOLC1 SLC25A5 RPL9P7 RPL30 RPS17 RPL22 RPS8 RPL31 YBX1 RPL7A NCL H1-10 RPL26 RPL13A MYBBP1A SNU13 RPL21 LUC7L2 EBNA1BP2 RPL37A RPS29 RPL36A EEF2 RPL11 RPS14 RPL3 RPL9 ACTG2 RPS6 H2BC14 U2AF1 RPL10 RPLP0 RPS24 ILF3 TUBA1A EEF1A1 RSL1D1 H1-3 RPL23A RPL6 RPS11 NOP56 RPL35A RPL18 DHX9 RPS13 RPL29 HNRNPA1 RPL9P9 RPL12 PWP1 RPL17 SRPK1 TCOF1 NAP1L1 RPLP2 HNRNPM RPS15 TUFM RPS15A RPL5 BRIX1 RPL15 RPS18 TUBB1 NPM1 RPL7 TOP1 IGF2BP1
RBM28,GNL3 RPS23 RPS2 SRP14 RPL10A RPS7 ACTA2 RPS12 RPL27 RPL4 RPL9P8 RPL23 RPL8 RPS16 RPL14 RPL27A RPL35 LYAR RPL36 HNRNPU RPS9 RPL28 RPL32 RPS3A RPL13 SCYL2 RPLP1 U2AF2 ILF2 FBL DDX21 RPL19 NOP58 RPL24 RPL18A RPL39 NOLC1 SLC25A5 RPL9P7 RPL30 RPS17 RPL22 RPS8 RPL31 YBX1 RPL7A NCL H1-10 RPL26 RPL13A MYBBP1A SNU13 RPL21 LUC7L2 EBNA1BP2 RPL37A RPS29 RPL36A EEF2 RPL11 RPS14 RPL3 RPL9 ACTG2 RPS6 H2BC14 U2AF1 RPL10 RPLP0 RPS24 ILF3 TUBA1A EEF1A1 RSL1D1 H1-3 RPL23A RPL6 RPS11 NOP56 RPL35A RPL18 DHX9 RPS13 RPL29 HNRNPA1 RPL9P9 RPL12 PWP1 RPL17 SRPK1 TCOF1 NAP1L1 RPLP2 HNRNPM RPS15 TUFM RPS15A RPL5 BRIX1 RPL15 RPS18 TUBB1 NPM1 RPL7 TOP1 IGF2BP1
LYAR,GNL3 RPS23 RPS2 SRP14 RPL10A RPS7 ACTA2 RPS12 RPL27 RBM28 RPL4 RPL9P8 RPL23 RPL8 RPS16 RPL14 RPL27A RPL35 RPL36 HNRNPU RPS9 RPL28 RPL32 RPS3A RPL13 SCYL2 RPLP1 U2AF2 ILF2 FBL DDX21 RPL19 NOP58 RPL24 RPL18A RPL39 NOLC1 SLC25A5 RPL9P7 RPL30 RPS17 RPL22 RPS8 RPL31 YBX1 RPL7A NCL H1-10 RPL26 RPL13A MYBBP1A SNU13 RPL21 LUC7L2 EBNA1BP2 RPL37A RPS29 RPL36A EEF2 RPL11 RPS14 RPL3 RPL9 ACTG2 RPS6 H2BC14 U2AF1 RPL10 RPLP0 RPS24 ILF3 TUBA1A EEF1A1 RSL1D1 H1-3 RPL23A RPL6 RPS11 NOP56 RPL35A RPL18 DHX9 RPS13 RPL29 HNRNPA1 RPL9P9 RPL12 PWP1 RPL17 SRPK1 TCOF1 NAP1L1 RPLP2 HNRNPM RPS15 TUFM RPS15A RPL5 BRIX1 RPL15 RPS18 TUBB1 NPM1 RPL7 TOP1 IGF2BP1
IGF2BP1,GNL3 RPS23 RPS2 SRP14 RPL10A RPS7 ACTA2 RPS12 RPL27 RBM28 RPL4 RPL9P8 RPL23 RPL8 RPS16 RPL14 RPL27A RPL35 LYAR RPL36 HNRNPU RPS9 RPL28 RPL32 ELAVL1 RPS3A RPL13 SCYL2 RPLP1 U2AF2 ILF2 FBL DDX21 RPL19 NOP58 RPL24 RPL18A RPL39 NOLC1 SLC25A5 RPL9P7 RPL30 RPS17 RPL22 RPS8 RPL31 YBX1 RPL7A SYNCRIP NCL H1-10 RPL26 RPL13A MYBBP1A SNU13 RPL21 LUC7L2 EBNA1BP2 RPL37A RPS29 RPL36A EEF2 RPL11 RPS14 RPL3 RPL9 ACTG2 RPS6 H2BC14 U2AF1 RPL10 RPLP0 RPS24 ILF3 TUBA1A EEF1A1 RSL1D1 H1-3 RPL23A RPL6 RPS11 NOP56 RPL35A CSDE1 RPL18 DHX9 RPS13 RPL29 HNRNPA1 PABPC1 RPL9P9 RPL12 PWP1 RPL17 SRPK1 TCOF1 NAP1L1 RPLP2 HNRNPM RPS15 TUFM RPS15A RPL5 BRIX1 RPL15 STAU1 RPS18 TUBB1 NPM1 RPL7 TOP1
NOP58,GNL3 RPS23 RPS2 SRP14 RPL10A RPS7 ACTA2 RPS12 RPL27 RBM28 RPL4 RPL9P8 RPL23 RPL8 RPS16 RPL14 RPL27A RPL35 LYAR RPL36 HNRNPU RPS9 RPL28 RPL32 RPS3A RPL13 SCYL2 RPLP1 U2AF2 ILF2 FBL DDX21 RPL19 RPL24 RPL18A RPL39 NOLC1 SLC25A5 RPL9P7 RPL30 RPS17 RPL22 RPS8 RPL31 YBX1 RPL7A NCL H1-10 RPL26 RPL13A MYBBP1A SNU13 RPL21 LUC7L2 EBNA1BP2 RPL37A RPS29 RPL36A EEF2 RPL11 RPS14 RPL3 RPL9 ACTG2 RPS6 H2BC14 U2AF1 RPL10 RPLP0 RPS24 ILF3 TUBA1A EEF1A1 RSL1D1 H1-3 RPL23A RPL6 RPS11 NOP56 RPL35A RPL18 DHX9 RPS13 RPL29 HNRNPA1 RPL9P9 RPL12 PWP1 RPL17 SRPK1 TCOF1 NAP1L1 RPLP2 HNRNPM RPS15 TUFM RPS15A RPL5 BRIX1 RPL15 RPS18 TUBB1 NPM1 RPL7 TOP1 IGF2BP1
LUC7L2,SF3A1 SFSWAP RPS2 SNRPA1 SRP14 RBM10 SMARCA4 SNRPD1 STRAP RPL9P8 PBRM1 RPS16 ACTL6A SF1 RPL36 RUVBL1 SRSF4 SNRNP70 RPS9 GEMIN4 SNRNP40 RPS3A RPL13 LSM4 CPSF7 PRPF3 HNRNPH1 ILF2 RPL19 NOP58 SNRPE RPL30 RPS17 SMARCC1 PUF60 CPSF1 RPS8 SNRPB2 RPL31 DDX5 RPL7A ARID1B SNU13 RPL21 EBNA1BP2 LUC7L3 RPS29 PCBP2 NCBP1 EFTUD2 RBM17 PRPF4 HNRNPL DDX39B DDX39A U2AF1 SF3A3 RPLP0 PRPF6 SART3 RPS24 RPL23A RPL6 SF3B1 DDX20 SMN2 RPS11 SF3B4 RBM39 RPL18 PCBP1 DHX9 DNAJC8 RPL29 CPSF6 SMARCC2 BCAS2 SRSF1 SRRM2 RPL12 PWP1 SF3B3 SNRPA GEMIN8 SRPK1 NAP1L1 HNRNPM RPS15 TUFM RPS15A BRIX1 ZCCHC8 SNRPD3 RUVBL2 NPM1 SRSF2 SMARCA2 GNL3 RPS23 NUDT21 SNRPD2 HNRNPA0 GEMIN5 DDX23 RPL10A RPS7 ACTA2 RPS12 RPL27 RBM28 RPL4 RBMXL2 ACTBL2 RPL23 RPL8 RPL14 RPL27A PRPF31 SNRNP200 RPL35 LYAR SNRPB ARID2 SART1 HNRNPU RPL28 RPL32 GEMIN6 CHD8 DHX15 ARID1A SCAF4 SRSF7 PHF5A MTREX HTATSF1 HNRNPF DDX46 GEMIN2 RBM42 SCYL2 RPLP1 HNRNPC U2AF2 FBL DDX21 TOP1 RPL24 RPL18A RPL39 NOLC1 SLC25A5 RPL9P7 SRSF11 SMARCE1 CHERP RPL22 YBX1 RBM25 SYNCRIP NCL H1-10 RPL26 RPL13A MYBBP1A RPL37A ALYREF PRPF40A RPL36A EEF2 SNRPF SRSF5 RPL11 RPS14 RPL3 HNRNPA2B1 PPIH HNRNPK ACTG2 RPS6 NCBP2 H2BC14 RPL10 SRRT ILF3 TUBA1A EEF1A1 PRPF8 RSL1D1 SMARCA1 H1-3 SRSF3 NOP56 RPL35A SREK1 SNRPC KHSRP RPS13 FUS HNRNPD SRSF6 HNRNPA1 RPL9P9 SF3B2 USP39 HNRNPR SMARCB1 RPL17 PRPF19 CHD4 TCOF1 RPLP2 RPL5 SF3B6 RPL15 SRSF8 RBM7 SMARCD1 SF3A2 SMN1 U2SURP RPS18 TUBB1 DDX17 RPL7 IGF2BP1 RPL9 SNRPG
ITGA10,ITGB1
ITGA11,COL1A1 ITGB1
COL1A1,ITGA11 ITGB1
DRAP1,SMARCC2 TBP GTF2E1 GTF2H1 SMARCB1 POLR2A MED21 SMARCD1 CCNC GTF2F1 CDK8 SMARCC1 GTF2B PCSK4 SMARCA2
PCSK4,SMARCC2 DRAP1 TBP GTF2E1 GTF2H1 SMARCB1 POLR2A MED21 SMARCD1 CCNC GTF2F1 CDK8 SMARCC1 GTF2B SMARCA2
POLH,CHTF18 RFC4 RFC2 RFC5 DSCC1 RFC3 CHTF8
MAEA,GID4 RANBP9 GID8 MKLN1 PGAM5 RMND5A YPEL5 WDR26 RANBP10 HTRA2 RMND5B ARMC8
ARMC8,GID4 RANBP9 GID8 MKLN1 PGAM5 RMND5A YPEL5 WDR26 RANBP10 HTRA2 RMND5B MAEA
RMND5A,GID4 RANBP9 GID8 MKLN1 PGAM5 YPEL5 WDR26 RANBP10 HTRA2 MAEA ARMC8
MKLN1,GID4 RANBP9 GID8 PGAM5 RMND5A YPEL5 WDR26 RANBP10 HTRA2 RMND5B MAEA ARMC8
KDM6A,PAGR1 KMT2D WDR5 DPY30 RBBP5 ASH2L KMT2C PROSER1 PAXIP1 NCOA6 N4BP2 KMT2B PPP6R3 ZNF281
PPP6R3,ANKRD52 KMT2D WDR5 PPP6R2 RBBP5 KDM6A ASH2L PPP6C KMT2C PROSER1 PAXIP1 ANKRD28 NCOA6 PPP6R1 N4BP2 ANKRD44 IGBP1 ZNF281
PAXIP1,PAGR1 NBN KMT2D WDR5 DPY30 RBBP5 KDM6A ASH2L PITX2 BLM KMT2C PROSER1 MRE11 RAD50 NCOA6 TP53BP1 N4BP2 KMT2B PPP6R3 ZNF281
N4BP2,KMT2C PROSER1 PAXIP1 KMT2D WDR5 NCOA6 RBBP5 KDM6A ASH2L PPP6R3 ZNF281
PROSER1,KMT2C PAXIP1 KMT2D WDR5 NCOA6 RBBP5 KDM6A N4BP2 ASH2L PPP6R3 ZNF281
ZNF281,KMT2C PROSER1 PAXIP1 KMT2D WDR5 NCOA6 RBBP5 KDM6A N4BP2 ASH2L PPP6R3
XPO5,ZNF346 RAN ILF3
TOMM40,APP TOMM20 TOMM6 PRKN TOMM5 TOMM70 TOMM22 TOMM7
COIL,TIMM50
TIMM50,TIMM21 TIMM17B TIMM23 COIL TIMM44 TOMM22 TIMM17A COA3 HSPA9 ROMO1 SMN1 HSD3B2 SMN2
ADAR,XRCC5 DHX9 XRCC6 PRKDC HDLBP
NRP1,ITGB1 SEMA3C VEGFC SEMA3A PLXNA2 PLXND1 PLXNA3 VEGFD SEMA6D PLXNA4 FARP2 PLXNA1 PLXNB1 KDR VEGFA
P2RY2,GNA12 ITGAV
GNA12,P2RY2 ITGAV
POU2AF1,TLE1 POU2F1
TLE4,POU2F2
TLE2,TLE1 DDB1 CUL4B
STAT6,SND1 DHX9
SND1,DHX9 STAT6
PIK3CA,PIK3R1
HES1,H4C12 H4C6 CAMK2D H3C3 H4C9 H3C7 H3C2 CREBBP KAT2B H4C14 NONO POLR2A H3C8 H3C6 PARP1 H4C8 H4C5 H4C1 H3C4 SRC H4C3 H4C11 H3C11 H4C2 H4C15 H4C4 H3C12 H3C10 H4C13 H4-16 H3C1
AKT2,TCL1A SH3RF1
RAMP2,PTH1R CALCRL GCGR VIPR2 VIPR1 CRHR1
RAMP3,CALCRL PTH2R VIPR2 VIPR1
CAMK2D,SRC POLR2A PARP1 CREBBP HES1 KAT2B NONO
NKX3-1,HIPK2 RBBP4 TLE1 HDAC1 SIN3A
PRDX1,PI4K2A SRXN1
SRXN1,PRDX1
ARHGEF25,GNAQ RHOA
DLL1,NCSTN CTNNB1 PSEN1 CDH2 NOTCH2 PSENEN APH1A
NOTCH2,DLL1
TCF7L2,CTNNB1 FERMT2
PRLR,
PFN1,APBB1IP RAP1A
VASP,APBB1IP CXCR2
F10,F3 F7 TFPI
F7,F3 TFPI F10
TFPI,F3 F7 F10
F3,F7 TFPI F10
HESX1,HDAC2 TLE1 HDAC1 SIN3A NCOR2 SIN3B
BLNK,SH3KBP1
USP1,WDR48 FANCI FANCD2 AKT1 PHLPP1 PHLPP2
WDR48,USP12 USP46 FANCI WDR20 USP1 FANCD2 AKT1 PHLPP1 PHLPP2
GNA14,ARHGEF1
ARHGEF1,CAPZB ARHGEF2 NEDD4 FKBP15 WASHC2A PI4K2A DOCK7 GNA14 AP3B1 CLTC WASHC5 WASHC4 CAPZA1 DNM2
CREB1,LMO4 ATF4 FHL2 FHL3
FHL3,CREB1 FHL2
SKIL,SMURF2 SMAD3 SMAD4 SKI
ULBP1,KLRK1 HCST
STON2,EPS15
TGIF1,FOXH1 HDAC1 SMAD4 SMAD2
SCAMP3,SCAMP1 SCAMP2
HEY2,SIN3A NCOR2 HDAC1
NAIP,CASP9 CASP1 NLRC4
NPM3,NPM1
BAX,TNFRSF10B PACS2 TNFSF10 BCL2L11
UBE2I,PIAS1 NCOA1 SUMO1 NR3C2
CHRDL2,TWSG1 BMP2
PDCL,GNB1 GNB2 GNB5 DNAJC14 GNB4 CCT5
DNAJC14,PDCL
TCL1A,AKT2 AKT1
GABPB2,E2F1 TFDP1
GATA4,SRF MYOCD
MYOCD,GATA4 SRF
RAB11A,TICAM1 TICAM2 IKBKG ANP32A ANP32B PTMA TRAPPC4 RAB11FIP2 SLAMF1 ASAP1 RAB11FIP1 MYO5B DYNC1LI1 RAB11FIP3 ZFYVE27 RELCH OSBP CD274 RAB11FIP5
RAB11FIP1,RAB11A SLAMF1
MAPKAP1,PRR5 MTOR MLST8 PRR5L RICTOR
CLPP,ALAS1 CLPX
CLPX,ALAS1 CLPP
ACTN1,JUP SRC BCAR1 PXN PTK2 CTNNB1 PARVB VCL CDH1 TLN1 PKD1
BACE1,PAWR
PAWR,BACE1 SQSTM1 PRKCZ
EPAS1,IKBKG ARNT ARNTL
KDR,MAPK3 PECAM1 FLT4 S1PR1 NRP1 MAPK1 CTNNB1 S1PR2 S1PR5 TJP1 CDH5 PRKCA S1PR3 VEGFA
SMAD6,HOXA9 HOXC8 PELI1
HOXC8,SMAD6
CTNNAL1,DTNA CTNNB1
CTNNA1,ARHGAP10 CTNNB1
TSC2,TSC1 TBC1D7 CDC37 PPP5C CDK4 RAF1 GSK3B HERC1 DVL1 NR3C1 AKT1 HSPA1A AXIN1 HSP90AA1
TSC1,TBC1D7 CDC37 TSC2 PPP5C CDK4 RAF1 GSK3B NR3C1 AKT1 HSPA1A AXIN1 HSP90AA1
FKBP8,HSP90AA1 BCL2 CALM1
DNM1L,CASP10 GSK3B FADD PRKAR2A GSKIP FIS1
FIS1,DNM1L
NR3C1,TSC1 HNRNPU CDC37 TSC2 PPP5C CDK4 RAF1 UPF1 AKT1 CBX3 HSPA1A HSP90AA1 EHMT2 DCP1A PNRC2 EHMT1
NFYA,NFYB LMNA NFYC C1QBP
NFYB,NFYA NFYC C1QBP
NFYC,NFYB NFYA C1QBP
SVIP,VCP DERL1
AMFR,INSIG1 BAG6 ERLIN2 TMUB1 STING1 VCP FAF2 DERL1
SELENOS,RPN2 STT3A SELENOK SYVN1 DERL2 CANX VCP SEL1L NPLOC4 UFD1 DERL1 RPN1 DDOST
DERL2,SELENOK SYVN1 ERLIN2 CANX DDOST SEL1L FAM8A1 FAF2 UBE2J1 ERLEC1 HSPA5 RPN2 AUP1 STT3A BSG OS9 RPN1 VCP DERL1 HSP90B1 SELENOS
SEL1L,SYVN1 ERLIN2 DERL2 FAM8A1 FAF2 UBE2J1 ERLEC1 HSPA5 AUP1 BSG OS9 VCP DERL1 HSP90B1 SELENOS
SERTAD1,CDK4 CCND2
TFAP2A,RB1
SET,ACTB ANP32A CTCF MARCKSL1 PTMA APEX1 HMGB2 NME1
ELK3,ELK1 SRF
FURIN,PACS1 AP1G1
JUP,SRC BCAR1 PXN PTK2 CTNNB1 VCL CDH1 ACTN1 NME1 TLN1 BSG PKD1
VCL,JUP SRC THSD1 BCAR1 PXN PTK2 CTNNB1 CDH1 ACTN1 TLN1 PKD1
PTAFR,TYK2 JAK2
TYK2,IFNAR2 JAK2 PTAFR IFNAR1
EIF2S1,EIF2S2 PRKDC ILF2 EIF2S3 ILF3 XRCC5 XRCC6 PPP1CA NCK1 PPP1R15B
EIF2S2,PRKDC ILF2 EIF2S3 ILF3 XRCC5 XRCC6 EIF2S1
EIF2S3,EIF2S2 PRKDC ILF2 ILF3 XRCC5 XRCC6 EIF2S1
YWHAQ,MARK2 CDC37 SGK1 PDCD4 CALM1 CABIN1 CKB LMNB1 THRA HNRNPK SNRPD1 PDRG1 HNRNPL HDGF DDX39A YWHAB ACTB PFDN2 ILF3 YWHAE YWHAZ LEMD3 LSM8 HNRNPU HSPA4 WWTR1 EMD MAPT HSP90AB1 YWHAH YWHAG TRAF7 API5 HSP90AA1 MAP2K5 RBL2 NMI H1-1 MAP3K3 C1QBP IQGAP1
CABIN1,YWHAQ UBN1 OGT PHB1 CALM1 HIRA
EPHA2,EFNB1 TIAM1
EFNB1,EPHA2 TIAM1
TIAM1,EFNB1 EPHA2 GRIN1
NFKBIE,REL IKBKG TNIP1 NFKBIA SPAG9 RELA COPB2 KPNA3 NFKBIB NFKB2 RELB TNIP2 CHUK NFKB1
NFKBIB,PDCD2 IKBKG CDC37 ATG16L1 FBXW11 POLR1B KPNA2 LRPPRC MTIF2 RELA TXLNA CUL1 POLR1D FKBP5 RELB TNIP2 POLR1E RPL6 POLR1G SKP1 CCAR1 REL DDX3X RPS13 POLR2H MCC NFKBIA RASAL2 HSP90AB1 TBK1 GLG1 GTF2I POLR1A HSP90AA1 IKBKB KPNA3 NFKBIE IQGAP2 NFKB2 RPL30 POLR2L MAP3K8 CHUK NFKB1
SEC16A,REL FBXW7 IKBKG MAP3K14 NFKB2 USP2 RELA CHUK IKBKB
USP2,SEC16A REL FBXW7 IKBKG MAP3K14 NFKB2 RELA CHUK IKBKB
PAGR1,KMT2D WDR5 RBBP5 KDM6A ASH2L KMT2C PAXIP1 NCOA6 KMT2B DPY30
PPP6C,REL ANKRD52 PPP6R2 WRNIP1 PPP6R3 RELA BTRC CUL1 ANKRD28 PPP6R1 NFKB2 TRIM14 IKBKE SKP1 ANKRD44 IGBP1 CHUK
ANKRD28,REL ANKRD52 PPP6R2 PPP6R3 RELA BTRC PPP6C CUL1 PPP6R1 NFKB2 IKBKE SKP1 ANKRD44 IGBP1 CHUK
PPP6R2,REL ANKRD52 PPP6R3 RELA BTRC PPP6C CUL1 ANKRD28 PPP6R1 NFKB2 IKBKE SKP1 ANKRD44 IGBP1 CHUK
IKBKE,IKBKG TRAF2 CDC37 BIRC3 RELA BTRC TNF TNFRSF1A CUL1 SHARPIN TANK TNIP2 RIPK1 HTRA2 SKP1 SPATA2 REL DDX3X TNIP1 PPP6R2 KTN1 TRAF3 HSP90AB1 BIRC2 TBK1 RBCK1 TNFAIP3 MAP3K7 MAVS HSP90AA1 TAB2 IKBKB PPP6C TRADD ANKRD28 RNF31 PPP6R1 NFKB2 CYLD FKBP5 CHUK IRF3
PPP6R1,REL ANKRD52 PPP6R2 PPP6R3 RELA BTRC PPP6C CUL1 ANKRD28 NFKB2 IKBKE SKP1 ANKRD44 IGBP1 CHUK
RARA,CCND3 CRABP2 CREBBP RXRA
RXRA,RARA CREBBP
YWHAB,MARK2 YWHAQ CDC37 BCCIP ZRANB2 LSM2 HSP90AB1 YWHAH SSB YWHAG TRAF7 LMNB1 HNRNPK SNRPD1 G3BP1 PDRG1 HSP90AA1 MAP2K5 ACTB MAP3K3 PFDN2 YWHAE YWHAZ BANF1 SAP130 LSM8 HSPA4 EMD
YWHAG,MARK2 YWHAQ CDC37 HSP90AB1 YWHAH TRAF7 PDRG1 HSP90AA1 MAP2K5 YWHAB MAP3K3 PFDN2 YWHAE CXCR2 YWHAZ HSPA4
YWHAZ,MARK2 YWHAQ CDC37 HSP90AB1 YWHAH YWHAG TRAF7 PDRG1 HSP90AA1 MAP2K5 YWHAB MAP3K3 PFDN2 RAF1 YWHAE SSH1 LIMK1 BRAF HSPA4
YWHAH,MARK2 YWHAQ CDC37 HSP90AB1 YWHAG TRAF7 NRIP1 PDRG1 HSP90AA1 MAP2K5 YWHAB MAP3K3 PFDN2 YWHAE YWHAZ HSPA4
TRAF7,MARK2 YWHAQ CDC37 HSP90AB1 YWHAH YWHAG PDRG1 HSP90AA1 MAP2K5 YWHAB MAP3K3 PFDN2 YWHAE YWHAZ HSPA4
MARK2,YWHAQ CDC37 HSP90AB1 YWHAH YWHAG TRAF7 PDRG1 HSP90AA1 MAP2K5 YWHAB MAP3K3 PFDN2 YWHAE YWHAZ HSPA4
MAP3K3,MARK2 YWHAQ CDC37 HSP90AB1 YWHAH YWHAG TRAF7 PDRG1 HSP90AA1 MAP2K5 CCM2 YWHAB NBR1 KRIT1 PFDN2 MAP2K4 YWHAE YWHAZ HSPA4
PDRG1,MARK2 YWHAQ CDC37 HSP90AB1 YWHAH YWHAG TRAF7 HSP90AA1 MAP2K5 YWHAB MAP3K3 PFDN2 YWHAE YWHAZ HSPA4
UBE3A,PSMA6 NEURL4 PSMA2 UBQLN2 PSMA1 MAPK6 UBQLN1 HERC2
UBQLN2,PSMA6 UBQLN1 PSMA2 UBE3A PSMA1
UBQLN1,PSMA6 PSMA2 UBQLN2 PSMA1 VCP UBXN4 UBE3A
TRAF3,TRADD DDX3X TRAF2 TFG TANK STING1 IKBKE TBK1 DDX58 MAVS
TANK,IKBKG TRAF2 TBKBP1 CDC37 BIRC3 AZI2 TNF TNFRSF1A SHARPIN TNIP2 RIPK1 HTRA2 SPATA2 ZC3H12A TNIP1 TRAF3 HSP90AB1 BIRC2 TBK1 RBCK1 TNFAIP3 MAP3K7 HSP90AA1 TAB2 IKBKB TRADD RNF31 USP10 IKBKE CYLD CHUK IRF3
TBKBP1,TRAF2 CDC37 TANK HSP90AB1 AZI2 TBK1 HSP90AA1
AZI2,TRAF2 TBKBP1 CDC37 TANK HSP90AB1 TBK1 HSP90AA1
TBK1,IKBKG TRAF2 TFG TBKBP1 CDC37 ATG16L1 BIRC3 AZI2 TNF TNFRSF1A TXLNA SHARPIN NFKBIB TANK TNIP2 RIPK1 HTRA2 SPATA2 CCAR1 TNIP1 TRAF3 HSP90AB1 BIRC2 STING1 RBCK1 TNFAIP3 MAVS MAP3K7 HSP90AA1 TAB2 IKBKB TRADD RNF31 CYLD IKBKE DDX58 CHUK IRF3
PEX1,PEX26 PEX6
PEX6,PEX1 PEX26
PEX26,PEX1 PEX6
CS,TAB2 TAB1
IQGAP2,REL PDCD2 IKBKG POLR2H MCC FBXW11 RASAL2 POLR1B KPNA2 AKAP8L LRPPRC POLR1A MTIF2 RELA IKBKB CUL1 POLR1D NFKBIB NFKB2 TNIP2 POLR1E POLR1G SKP1 POLR2L CHUK NFKB1
AKAP8L,IQGAP2 RELA CHUK TNIP2
MAP2K1,KSR1 NEK10 WASL LGR4 LAMTOR2 MAP2K2 DIAPH1 PXN PTK2 RAF1 YWHAE DVL2 RSPO3 BRAF IQGAP1 LAMTOR3
LAMTOR3,RRAGC LAMTOR5 PRKAA1 RRAGB ATP6V0D1 MAP2K1 AXIN1 STK11 RRAGA RRAGD ATP6V1B2 ATP6V1A PRKAG1 MAPK1 ATP6V0C PRKAB1 LAMTOR4 LAMTOR1 LAMTOR2
LAMTOR2,RRAGC LAMTOR5 PRKAA1 RRAGB ATP6V0D1 MAP2K1 AXIN1 STK11 RRAGA RRAGD ATP6V1B2 ATP6V1A PRKAG1 MAPK1 ATP6V0C PRKAB1 LAMTOR4 LAMTOR1 LAMTOR3
PAPOLA,REL FIP1L1 AHCYL1 MAP3K8 TNIP2 RELA
SPAG9,COPB2 REL IKBKG TNIP1 NFKBIE FOXK2 NFKBIA NFKB2 TNIP2 FOXK1 PLK1 RELA CHUK NFKB1
COPB2,REL IKBKG TNIP1 NFKBIE NFKBIA NFKB2 TNIP2 SPAG9 RELA CHUK NFKB1
TNIP1,IKBKG TRAF2 BIRC3 SPAG9 RELA TNF COPB2 TNFRSF1A SHARPIN TANK TNIP2 RIPK1 HTRA2 SPATA2 REL NFKBIA BIRC2 RBCK1 TBK1 TNFAIP3 MAP3K7 TAB2 IKBKB TRADD NFKBIE RNF31 NFKB2 CYLD IKBKE TAB1 CHUK NFKB1
GLG1,REL DDX3X RPS13 IKBKG NFKBIA GTF2I RELA NFKBIB NFKB2 RELB TNIP2 RPL6 RPL30 MAP3K8 CHUK NFKB1
POLR1G,REL PDCD2 IKBKG POLR2H MCC FBXW11 RASAL2 POLR1B KPNA2 LRPPRC POLR1A MTIF2 RELA IKBKB CUL1 POLR1D IQGAP2 NFKBIB NFKB2 POLR1E SKP1 POLR2L CHUK NFKB1
POLR1A,REL PDCD2 IKBKG POLR2H MCC FBXW11 RASAL2 POLR1B KPNA2 LRPPRC MTIF2 RELA IKBKB CUL1 POLR1D IQGAP2 NFKBIB NFKB2 POLR1E POLR1G SKP1 POLR2L CHUK NFKB1
POLR1D,PDCD2 IKBKG FBXW11 POLR3F POLR1C POLR3H POLR1B KPNA2 POLR3G LRPPRC MTIF2 RELA CUL1 NFKBIB POLR1E POLR1G SKP1 POLR3K REL NFKB1 POLR2H POLR3C POLR3D MCC POLR3B POLR1A IKBKB CRCP IQGAP2 NFKB2 POLR3A POLR2L POLR3E POLR2K CHUK RASAL2
MCC,REL PDCD2 NFKB1 IKBKG POLR2H FBXW11 POLR1B KPNA2 LRPPRC POLR1A MTIF2 RELA IKBKB CUL1 POLR1D IQGAP2 NFKBIB NFKB2 POLR1E POLR1G SKP1 POLR2L CHUK RASAL2
LRPPRC,REL PDCD2 NFKB1 IKBKG POLR2H MCC FBXW11 POLR1B KPNA2 POLR1A MTIF2 RELA IKBKB CUL1 POLR1D IQGAP2 NFKBIB NFKB2 POLR1E POLR1G SKP1 POLR2L CHUK RASAL2
MTIF2,REL PDCD2 NFKB1 IKBKG POLR2H MCC FBXW11 POLR1B KPNA2 LRPPRC POLR1A RELA IKBKB CUL1 POLR1D IQGAP2 NFKBIB NFKB2 POLR1E POLR1G SKP1 POLR2L CHUK RASAL2
KPNA2,REL PDCD2 NFKB1 IKBKG POLR2H VIM NUP50 MCC FBXW11 KPNB1 POLR1B CSE1L LRPPRC POLR1A MTIF2 RELA IKBKB MAPK3 CUL1 POLR1D IQGAP2 RAN NFKBIB NFKB2 POLR1E POLR1G SKP1 POLR2L CHUK RASAL2
PDCD2,REL NFKB1 IKBKG POLR2H MCC FBXW11 POLR1B KPNA2 LRPPRC POLR1A MTIF2 RELA IKBKB CUL1 POLR1D IQGAP2 NFKBIB NFKB2 POLR1E POLR1G SKP1 POLR2L CHUK RASAL2
POLR1E,REL PDCD2 IKBKG POLR2H MCC FBXW11 RASAL2 POLR1B KPNA2 LRPPRC POLR1A MTIF2 RELA IKBKB CUL1 POLR1D IQGAP2 NFKBIB NFKB2 POLR1G SKP1 POLR2L CHUK NFKB1
RASAL2,REL PDCD2 NFKB1 IKBKG POLR2H MCC FBXW11 POLR1B KPNA2 LRPPRC POLR1A MTIF2 RELA IKBKB CUL1 POLR1D IQGAP2 NFKBIB NFKB2 POLR1E POLR1G SKP1 POLR2L CHUK
